Parameter,Symbol,Unit,Minimum,Maximum,Fix
Leaf structural index,N,–,Fixed,Fixed,1.5
Leaf chlorophyll content,Cab,µg/cm2,5,120,40
Leaf carotenoid content,Car,µg/cm2,5,60,15
Leaf dry matter content,Cm,g/cm2,0.01,0.05,0.02
Leaf brown matter,Cbp,–,Fixed,Fixed,0
Equivalent water thickness,Cw,g/cm2,0.01,0.05,0.02
Leaf area index,LAI,m2 m−2,0.5,10,3
Soil brightness ,Bsoil,–,Fixed,Fixed,1
Soil Wetness,Psoil,–,Fixed,Fixed,0
Average leaf angle,ALA,o,0,90,60
Hot spot parameter,hot,m m−1,0.01,0.5,0.01
Solar zenith angle,ᵩv,o,Fixed,Fixed,30
View azimuth angle,ᵩv,o,Fixed,Fixed,10
View Observer angle,ᵩv,o,Fixed,Fixed,0
